0.0.0.0,255.255.255.255,2,600,1493084689.992965,1493084690.114468,0.121503,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,
17.188.165.202,128.180.141.148,7,2587,1493084692.717544,1493084693.146636,0.033233,234906.816327,0.005399,7,1686,1493084692.682825,1493084692.934464,0.034076,37628.122449,0.000209,
17.188.165.209,128.180.141.148,4,212,1493083345.880056,1493084404.186343,157.212299,0.000000,153812.707561,4,372,1493083345.848893,1493084403.125019,157.213710,192.000000,154053.925000,
17.249.124.9,128.180.141.148,12,2997,1493084692.878810,1493084693.436701,0.051601,155266.520833,0.002861,11,3687,1493084692.867612,1493084693.114544,0.013324,93133.421488,0.000286,
17.249.124.72,128.180.141.148,6,350,1493083346.908025,1493084693.000167,155.201170,56.888889,111349.601492,8,2317,1493083346.881436,1493084419.295781,1.334401,140419.734375,95972.759273,
17.253.14.125,128.180.141.148,2,96,1493084301.252711,1493084302.488049,1.235338,0.000000,0.000000,2,96,1493084301.241917,1493084302.477413,1.235496,0.000000,0.000000,
23.50.76.28,128.180.141.148,5,617,1493084708.828525,1493084709.002047,0.017795,6036.640000,0.004209,8,1395,1493084708.814108,1493084708.892591,0.003357,49654.234375,0.000230,
23.99.109.64,128.180.141.148,127,169472,1493082794.577659,1493082798.000635,0.000006,36551.645979,0.009690,5,1113,1493082794.272352,1493082795.192952,0.274847,62542.640000,0.070143,
23.101.30.126,128.180.141.148,14,12744,1493082798.674303,1493082941.318631,0.305494,318150.489796,1341.501282,12,2344,1493082798.285592,1493082939.273340,0.266100,21459.555556,1732.257076,
23.203.18.185,128.180.141.148,5,3986,1493084696.724087,1493084696.795308,0.030988,336354.160000,0.000308,5,591,1493084696.708700,1493084696.765737,0.015135,9409.360000,0.000297,
23.209.73.29,128.180.141.148,12,1296,1493082643.329404,1493083013.001819,0.052079,6216.333333,4545.142141,14,2714,1493082643.315004,1493082942.946745,0.003555,53711.265306,6370.153098,
23.209.84.241,128.180.141.148,1,31,1493082510.242105,1493082510.242105,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,
54.88.208.223,128.180.141.148,6,4713,1493083924.956386,1493083925.137622,0.000670,358954.250000,0.004019,14,15541,1493083924.937000,1493083925.008300,0.000002,244090.637755,0.000082,
74.125.22.155,128.180.141.148,12,1072,1493084356.601023,1493084356.649524,0.000896,4806.555556,0.000066,11,2703,1493084356.571613,1493084356.650516,0.002930,66923.652893,0.000091,
74.125.192.188,128.180.141.148,2,62,1493084006.394627,1493084692.807397,686.412770,0.000000,0.000000,1,33,1493084006.394916,1493084006.394916,0.000000,0.000000,0.000000,
96.6.190.151,128.180.141.148,13,1400,1493083843.044107,1493084213.042046,0.027460,5739.289941,4256.547974,14,2714,1493083843.027653,1493084142.984946,0.003451,53711.265306,6385.086265,
103.211.228.68,128.180.141.148,45,36493,1493083462.745988,1493083487.106165,0.031541,204911.064691,7.487859,27,12744,1493083462.481237,1493083486.833132,0.199158,96.148148,12.358127,
103.251.128.85,128.180.141.148,2,573,1493083909.004030,1493083909.004036,0.000006,79242.250000,0.000000,2,1386,1493083908.704725,1493083908.704807,0.000082,196.000000,0.000000,
103.251.128.86,128.180.141.148,111,55737,1493082500.016287,1493084723.742079,0.000524,244590.206964,2242.180798,72,50977,1493082499.734260,1493084723.331793,0.000163,545.985918,2972.787934,
104.88.43.75,128.180.141.148,15,5457,1493083242.906186,1493083613.173368,0.015559,251709.626667,3779.200944,16,2865,1493083242.889656,1493083543.114266,0.003704,48827.183594,5601.820289,
128.180.1.1,128.180.141.148,140,32095,1493082486.824895,1493084708.799557,0.168453,25084.530357,1775.715329,140,6171,1493082486.822847,1493084708.782528,0.186825,123.143827,1799.111103,
128.180.1.81,128.180.141.148,132,172408,1493084351.188559,1493084402.633232,0.000007,63991.470156,18.293249,20,14054,1493084351.183052,1493084352.526655,0.008569,297995.410000,0.028242,
128.180.2.9,128.180.141.148,2,600,1493083343.647455,1493084243.690169,900.042714,0.000000,0.000000,2,600,1493083343.644487,1493084243.687375,900.042888,0.000000,0.000000,
128.180.141.148,128.180.143.253,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,300,1493084690.119470,1493084690.119470,0.000000,0.000000,0.000000,
128.180.141.148,128.180.143.255,74,9268,1493082481.596836,1493084719.072147,30.068819,562.562454,1014.071011,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,
128.180.141.148,162.125.4.3,12,4500,1493082487.289413,1493084320.444244,0.024175,48427.333333,125494.869493,27,22802,1493082487.304644,1493084380.618541,0.013764,312330.175583,51748.804842,
128.180.141.148,162.125.18.133,37,24143,1493082500.894402,1493084692.611609,63.191925,30265.330898,2633.996519,40,16536,1493082500.890085,1493084692.573796,61.645561,162809.040000,2695.072389,
128.180.141.148,162.125.32.5,33,20312,1493082502.634242,1493084239.238423,0.084317,330667.280073,44628.680089,34,24699,1493082502.718124,1493084299.468631,0.082404,346769.540657,34026.559700,
128.180.141.148,162.125.32.12,6,1037,1493084132.716907,1493084132.923053,0.096518,21213.138889,0.002674,5,3682,1493084132.796191,1493084133.079707,0.098275,292336.240000,0.005885,
128.180.141.148,168.61.172.71,5,1113,1493082937.381902,1493082937.586355,0.059729,62542.640000,0.003521,128,171829,1493082937.438212,1493082937.902582,0.000009,29273.258240,0.000217,
128.180.141.148,172.217.3.37,9,3364,1493084350.844815,1493084350.960536,0.010467,268259.283951,0.000485,11,4590,1493084350.866846,1493084350.959385,0.000655,229423.289256,0.000268,
