10.0.1.1,10.0.1.3,17,1194459102.849735000,33
10.0.1.1,10.0.1.3,17,1194459102.852748000,33
10.0.1.1,10.0.1.3,17,1194459102.852878000,42
10.0.1.3,10.0.1.1,17,1194459102.856035000,173
10.0.1.1,10.0.1.3,17,1194459102.857205000,38
10.0.1.3,10.0.1.1,17,1194459102.857299000,286
10.0.1.1,10.0.1.3,17,1194459102.857502000,42
10.0.1.3,10.0.1.1,17,1194459102.859189000,286
10.0.1.3,10.0.1.1,17,1194459102.864106000,261
10.0.1.3,10.0.1.1,17,1194459102.943501000,169
10.0.1.1,10.0.1.3,17,1194459105.233999000,33
10.0.1.3,10.0.1.1,17,1194459105.235237000,260
10.0.1.1,10.0.1.3,17,1194459105.235379000,33
10.0.1.3,10.0.1.1,17,1194459105.236646000,260
10.0.1.1,10.0.1.8,6,1194459105.251792000,1315
10.0.1.1,10.0.1.8,6,1194459105.285194000,1153
10.0.1.8,10.0.1.1,6,1194459105.332675000,1374
10.0.1.8,10.0.1.1,6,1194459105.333280000,108
10.0.1.8,10.0.1.1,6,1194459105.362502000,979
10.0.1.1,10.0.1.3,17,1194459105.405241000,32
10.0.1.3,10.0.1.1,17,1194459105.406405000,252
10.0.1.1,10.0.1.3,17,1194459105.406517000,32
10.0.1.3,10.0.1.1,17,1194459105.408262000,252
10.0.1.1,10.0.1.3,17,1194459105.443882000,33
10.0.1.3,10.0.1.1,17,1194459105.464599000,261
10.0.1.1,10.0.1.3,17,1194459105.529250000,33
10.0.1.3,10.0.1.1,17,1194459105.530362000,261
10.0.1.1,10.0.1.8,6,1194459105.677040000,99
10.0.1.8,10.0.1.1,6,1194459105.699583000,1374
10.0.1.8,10.0.1.1,6,1194459105.699846000,352
10.0.1.1,10.0.1.3,17,1194459105.706304000,33
10.0.1.3,10.0.1.1,17,1194459105.715978000,261
10.0.1.1,10.0.1.8,6,1194459105.779566000,1374
10.0.1.1,10.0.1.8,6,1194459105.779602000,777
10.0.1.8,10.0.1.1,6,1194459105.792833000,47
10.0.1.8,10.0.1.1,6,1194459105.811105000,1325
10.0.1.1,10.0.1.8,6,1194459105.812397000,1374
10.0.1.1,10.0.1.8,6,1194459105.812425000,570
10.0.1.8,10.0.1.1,6,1194459106.234271000,1083
10.0.1.1,10.0.1.8,6,1194459106.235687000,1374
10.0.1.1,10.0.1.8,6,1194459106.235724000,356
10.0.1.8,10.0.1.1,6,1194459106.945299000,1374
10.0.1.8,10.0.1.1,6,1194459106.945920000,1374
