0.0.0.0,255.255.255.255,4,1226,1349360810.669084,1349360820.509001,1.091385,42.250000,9.980475,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,
1.170.152.14,192.168.248.165,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,16,1349361243.369771,1349361243.369771,0.000000,0.000000,0.000000,
1.174.154.12,192.168.248.165,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,32,1349361509.469756,1349361666.515375,157.045619,0.000000,0.000000,
2.133.253.153,192.168.248.165,3,1704,1349361344.626960,1349361619.716465,264.088831,0.000000,16013.403796,3,48,1349361344.400618,1349361619.488179,264.086925,0.000000,16013.167441,
2.192.195.83,192.168.248.165,3,1704,1349361009.690511,1349361433.643186,264.088742,0.000000,2715.702699,3,48,1349361009.273320,1349361433.438070,264.095913,0.000000,2705.408148,
2.195.99.176,192.168.248.165,2,1136,1349361558.820108,1349361726.824627,168.004519,0.000000,0.000000,2,32,1349361558.469355,1349361726.532179,168.062824,0.000000,0.000000,
4.2.2.2,192.168.248.165,249,29682,1349360808.572945,1349361748.471228,0.141602,3330.556443,416.250009,249,9036,1349360808.569104,1349361748.447937,0.146094,28.414380,416.250331,
5.12.168.38,192.168.248.165,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,16,1349361667.515318,1349361667.515318,0.000000,0.000000,0.000000,
5.13.221.25,192.168.248.165,2,1136,1349361537.599839,1349361716.659884,179.060045,0.000000,0.000000,2,32,1349361537.469581,1349361716.532086,179.062505,0.000000,0.000000,
5.14.205.55,192.168.248.165,3,1704,1349361180.473587,1349361530.601522,264.085423,0.000000,7924.819544,3,48,1349361180.342533,1349361530.469307,264.083490,0.000000,7924.578734,
5.20.133.8,192.168.248.165,3,1704,1349361373.526559,1349361631.640988,241.098545,0.000000,12553.259757,3,48,1349361373.401382,1349361631.515476,241.098453,0.000000,12553.276666,
5.20.145.20,192.168.248.165,3,1704,1349361452.578895,1349361661.640354,208.061334,0.000000,10718.586064,3,48,1349361452.453949,1349361661.515140,208.061289,0.000000,10718.604503,
5.150.221.198,192.168.248.165,2,1136,1349361583.610650,1349361743.655668,160.045018,0.000000,0.000000,2,32,1349361583.488403,1349361743.532181,160.043778,0.000000,0.000000,
8.8.8.8,192.168.248.165,253,29501,1349360808.590871,1349361748.512385,0.156984,2996.120452,353.575265,253,9162,1349360808.569037,1349361748.447863,0.157684,28.325985,353.575859,
8.18.45.83,192.168.248.165,6,1866,1349361630.702709,1349361631.715983,0.102318,0.000000,0.058053,3,1639,1349361630.694166,1349361631.610647,0.783685,3350.222222,0.105914,
8.18.45.90,192.168.248.165,10,8548,1349361423.907846,1349361630.651208,0.101485,12951.760000,4125.862151,5,3417,1349361423.899948,1349361630.494015,1.581438,68848.640000,7820.644898,
8.18.45.94,192.168.248.165,2,1984,1349361424.006738,1349361424.106339,0.099601,0.000000,0.000000,1,501,1349361424.003645,1349361424.003645,0.000000,0.000000,0.000000,
8.30.89.71,192.168.248.165,5,4973,1349361426.179865,1349361427.213583,0.103862,24334.240000,0.101494,3,1970,1349361426.175796,1349361427.106519,0.923461,12214.222222,0.209855,
12.192.118.250,192.168.248.165,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,32,1349361550.469667,1349361695.526215,145.056548,0.000000,0.000000,
12.227.181.58,192.168.248.165,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,16,1349361495.454070,1349361495.454070,0.000000,0.000000,0.000000,
23.0.195.196,192.168.248.165,4,4006,1349361631.582360,1349361695.637524,0.100757,35532.250000,903.825185,2,1195,1349361631.564983,1349361695.515707,63.950724,9506.250000,0.000000,
23.4.176.143,192.168.248.165,4,5169,1349361682.199361,1349361682.199382,0.000005,36396.187500,0.000000,1,815,1349361682.195545,1349361682.195545,0.000000,0.000000,0.000000,
23.4.181.163,192.168.248.165,28,34268,1349361160.990323,1349361631.332455,0.000006,166009.479592,7889.699104,2,378,1349361160.987003,1349361631.322152,470.335149,1.000000,0.000000,
23.13.165.37,192.168.248.165,61,70022,1349361155.610323,1349361158.276946,0.000026,122648.187046,0.056021,9,3592,1349361155.603483,1349361158.271498,0.137064,6.320988,0.324369,
23.13.165.163,192.168.248.165,2,2344,1349361631.258900,1349361631.359282,0.100382,0.000000,0.000000,1,179,1349361631.255889,1349361631.255889,0.000000,0.000000,0.000000,
23.23.209.166,192.168.248.165,3,1589,1349361426.232426,1349361426.398129,0.099525,997.555556,0.000278,2,909,1349361426.201414,1349361426.290060,0.088646,2862.250000,0.000000,
23.23.245.217,192.168.248.165,2,378,1349361687.676777,1349361687.776905,0.100128,0.000000,0.000000,1,407,1349361687.671254,1349361687.671254,0.000000,0.000000,0.000000,
23.39.162.116,192.168.248.165,2,1364,1349361695.660086,1349361695.761690,0.101604,0.000000,0.000000,1,451,1349361695.514390,1349361695.514390,0.000000,0.000000,0.000000,
23.39.164.136,192.168.248.165,10,11913,1349361748.850509,1349361748.850582,0.000007,203150.810000,0.000000,1,387,1349361748.841594,1349361748.841594,0.000000,0.000000,0.000000,
23.49.243.167,192.168.248.165,4,3524,1349361631.933713,1349361695.611884,0.105037,2401.000000,892.390184,2,971,1349361631.926150,1349361695.498118,63.571968,3422.250000,0.000000,
23.49.253.229,192.168.248.165,16,14642,1349361562.184636,1349361713.928979,0.100100,151745.734375,624.794352,7,4183,1349361562.168719,1349361713.912735,3.497992,13137.959184,1180.545221,
