2,600,0.121503,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,
7,2587,0.033233,234906.816327,0.005399,7,1686,1493084692.682825,0.034076,37628.122449,0.000209,
4,212,157.212299,0.000000,153812.707561,4,372,1493083345.848893,157.213710,192.000000,154053.925000,
12,2997,0.051601,155266.520833,0.002861,11,3687,1493084692.867612,0.013324,93133.421488,0.000286,
6,350,155.201170,56.888889,111349.601492,8,2317,1493083346.881436,1.334401,140419.734375,95972.759273,
2,96,1.235338,0.000000,0.000000,2,96,1493084301.241917,1.235496,0.000000,0.000000,
5,617,0.017795,6036.640000,0.004209,8,1395,1493084708.814108,0.003357,49654.234375,0.000230,
127,169472,0.000006,36551.645979,0.009690,5,1113,1493082794.272352,0.274847,62542.640000,0.070143,
14,12744,0.305494,318150.489796,1341.501282,12,2344,1493082798.285592,0.266100,21459.555556,1732.257076,
5,3986,0.030988,336354.160000,0.000308,5,591,1493084696.708700,0.015135,9409.360000,0.000297,
12,1296,0.052079,6216.333333,4545.142141,14,2714,1493082643.315004,0.003555,53711.265306,6370.153098,
1,31,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,
6,4713,0.000670,358954.250000,0.004019,14,15541,1493083924.937000,0.000002,244090.637755,0.000082,
12,1072,0.000896,4806.555556,0.000066,11,2703,1493084356.571613,0.002930,66923.652893,0.000091,
2,62,686.412770,0.000000,0.000000,1,33,1493084006.394916,0.000000,0.000000,0.000000,
13,1400,0.027460,5739.289941,4256.547974,14,2714,1493083843.027653,0.003451,53711.265306,6385.086265,
45,36493,0.031541,204911.064691,7.487859,27,12744,1493083462.481237,0.199158,96.148148,12.358127,
2,573,0.000006,79242.250000,0.000000,2,1386,1493083908.704725,0.000082,196.000000,0.000000,
111,55737,0.000524,244590.206964,2242.180798,72,50977,1493082499.734260,0.000163,545.985918,2972.787934,
15,5457,0.015559,251709.626667,3779.200944,16,2865,1493083242.889656,0.003704,48827.183594,5601.820289,
140,32095,0.168453,25084.530357,1775.715329,140,6171,1493082486.822847,0.186825,123.143827,1799.111103,
132,172408,0.000007,63991.470156,18.293249,20,14054,1493084351.183052,0.008569,297995.410000,0.028242,
2,600,900.042714,0.000000,0.000000,2,600,1493083343.644487,900.042888,0.000000,0.000000,
